nome,lat,long,alt
M1,-1699.8950462867645,-3077.438722415107,0
M3,-1699.9141198972725,-3077.4962217904604,0
M4,-1699.929955640177,-3077.484513183406,0
M5,-1699.9438100004434,-3077.4991249996124,0
M6,-1699.9556171276586,-3077.5270950052814,0
M7,-1699.947615159902,-3077.2136325756783,0
M9,-1699.9168461240322,-3077.319276992713,0
M10,-1699.9473322393544,-3077.321673785756,0
M11,-1699.94217389661,-3077.447046231769,0
M12,-1699.9360450198562,-3077.510077544746,0
M13,-1699.9690704909806,-3077.5258713660223,0
M14,-1699.9315011130045,-3077.5834548794464,0
M15,-1699.9267192004318,-3077.5596773727157,0
M16,-1699.9220664786346,-3077.564675036365,0
M17,-1699.9258005108488,-3077.5755396854493,0
M18,-1699.951194960106,-3077.602693824681,0
M19,-1699.9438637011453,-3078.003914787155,0
M20,-1699.9475306350723,-3077.8805802206502,0
