nome,lat,long,alt
M1,253381.366784545,147023.42019293772,0
M3,251279.51045946975,148337.66364282952,0
M4,249523.77505198919,148267.54006215508,0
M5,247992.13363889517,148690.32631488444,0
M6,246689.5299905345,149351.56083802506,0
M7,247518.83291960217,143176.26548224274,0
M9,250945.5409982512,144913.37095922066,0
M10,247570.13398119883,145274.43726273175,0
M11,248164.04329597097,147660.68947803686,0
M12,248853.97409950226,148826.14286711594,0
M13,245199.45895538837,149461.24148702784,0
M14,249370.08118236563,150210.1741118359,0
M15,249895.4791042683,149699.91442721128,0
M16,250411.61140425495,149751.50026369604,0
M17,250000.0,150000.0,0
M18,247192.4515784142,150777.36411410224,0
M19,248071.26467485708,158511.18573856232,0
M20,247645.14963899905,156145.68415746366,0
